DATE,OPEN,HIGH,LOW,CLOSE
11/03/2008,61.42,61.42,61.42,61.42
11/04/2008,60.57,60.57,60.57,60.57
11/05/2008,62.42,62.42,62.42,62.42
11/06/2008,73.71,73.71,73.71,73.71
11/07/2008,67.25,67.25,67.25,67.25
11/10/2008,71.04,71.04,71.04,71.04
11/11/2008,74.58,74.58,74.58,74.58
11/12/2008,70.72,70.72,70.72,70.72
11/13/2008,69.25,69.25,69.25,69.25
11/14/2008,77.21,77.21,77.21,77.21
11/17/2008,77.81,77.81,77.81,77.81
11/18/2008,75.6,75.6,75.6,75.6
11/19/2008,74.42,74.42,74.42,74.42
11/20/2008,68.96,68.96,68.96,68.96
11/21/2008,74.64,74.64,74.64,74.64
11/24/2008,81.29,81.29,81.29,81.29
11/25/2008,77.29,77.29,77.29,77.29
11/26/2008,71.0,71.0,71.0,71.0
11/28/2008,73.32,73.32,73.32,73.32
12/01/2008,73.77,73.77,73.77,73.77
12/02/2008,78.61,78.61,78.61,78.61
12/03/2008,81.07,81.07,81.07,81.07
12/04/2008,78.42,78.42,78.42,78.42
12/05/2008,77.25,77.25,77.25,77.25
12/08/2008,73.3,73.3,73.3,73.3
12/09/2008,69.68,69.68,69.68,69.68
12/10/2008,66.51,66.51,66.51,66.51
12/11/2008,64.21,64.21,64.21,64.21
12/12/2008,66.66,66.66,66.66,66.66
12/15/2008,68.86,68.86,68.86,68.86
12/16/2008,67.98,67.98,67.98,67.98
12/17/2008,67.07,67.07,67.07,67.07
12/18/2008,59.41,59.41,59.41,59.41
12/19/2008,60.29,60.29,60.29,60.29
12/22/2008,60.84,60.84,60.84,60.84
12/23/2008,68.89,68.89,68.89,68.89
12/24/2008,68.68,68.68,68.68,68.68
12/26/2008,67.76,67.76,67.76,67.76
12/29/2008,62.26,62.26,62.26,62.26
12/30/2008,61.13,61.13,61.13,61.13
12/31/2008,57.52,57.52,57.52,57.52
01/02/2009,56.94,56.94,56.94,56.94
01/05/2009,51.01,51.01,51.01,51.01
01/06/2009,49.06,49.06,49.06,49.06
01/07/2009,54.9,54.9,54.9,54.9
01/08/2009,52.62,52.62,52.62,52.62
01/09/2009,54.12,54.12,54.12,54.12
01/12/2009,58.57,58.57,58.57,58.57
01/13/2009,56.18,56.18,56.18,56.18
01/14/2009,58.91,58.91,58.91,58.91
01/15/2009,53.24,53.24,53.24,53.24
01/16/2009,60.12,60.12,60.12,60.12
01/20/2009,76.54,76.54,76.54,76.54
01/21/2009,65.22,65.22,65.22,65.22
01/22/2009,65.37,65.37,65.37,65.37
01/23/2009,68.41,68.41,68.41,68.41
01/26/2009,68.42,68.42,68.42,68.42
01/27/2009,66.52,66.52,66.52,66.52
01/28/2009,64.73,64.73,64.73,64.73
01/29/2009,66.85,66.85,66.85,66.85
01/30/2009,72.54,72.54,72.54,72.54
02/02/2009,67.96,67.96,67.96,67.96
02/03/2009,66.31,66.31,66.31,66.31
02/04/2009,69.1,69.1,69.1,69.1
02/05/2009,73.66,73.66,73.66,73.66
02/06/2009,75.88,75.88,75.88,75.88
02/09/2009,68.08,68.08,68.08,68.08
02/10/2009,73.0,73.0,73.0,73.0
02/11/2009,68.58,68.58,68.58,68.58
02/12/2009,62.48,62.48,62.48,62.48
02/13/2009,70.65,70.65,70.65,70.65
02/17/2009,72.71,72.71,72.71,72.71
02/18/2009,73.65,73.65,73.65,73.65
02/19/2009,76.67,76.67,76.67,76.67
02/20/2009,79.71,79.71,79.71,79.71
02/23/2009,82.89,82.89,82.89,82.89
02/24/2009,78.36,78.36,78.36,78.36
02/25/2009,76.53,76.53,76.53,76.53
02/26/2009,71.63,71.63,71.63,71.63
02/27/2009,71.87,71.87,71.87,71.87
03/02/2009,76.77,76.77,76.77,76.77
03/03/2009,75.84,75.84,75.84,75.84
03/04/2009,70.86,70.86,70.86,70.86
03/05/2009,72.42,72.42,72.42,72.42
03/06/2009,69.74,69.74,69.74,69.74
03/09/2009,65.41,65.41,65.41,65.41
03/10/2009,61.31,61.31,61.31,61.31
03/11/2009,61.11,61.11,61.11,61.11
03/12/2009,62.15,62.15,62.15,62.15
03/13/2009,66.38,66.38,66.38,66.38
03/16/2009,65.67,65.67,65.67,65.67
03/17/2009,61.54,61.54,61.54,61.54
03/18/2009,58.13,58.13,58.13,58.13
03/19/2009,60.72,60.72,60.72,60.72
03/20/2009,65.44,65.44,65.44,65.44
03/23/2009,67.75,67.75,67.75,67.75
03/24/2009,63.82,63.82,63.82,63.82
03/25/2009,63.79,63.79,63.79,63.79
03/26/2009,61.09,61.09,61.09,61.09
03/27/2009,61.42,61.42,61.42,61.42
03/30/2009,63.3,63.3,63.3,63.3
03/31/2009,62.63,62.63,62.63,62.63
04/01/2009,59.62,59.62,59.62,59.62
04/02/2009,63.98,63.98,63.98,63.98
04/03/2009,59.66,59.66,59.66,59.66
04/06/2009,58.9,58.9,58.9,58.9
04/07/2009,54.69,54.69,54.69,54.69
04/08/2009,54.03,54.03,54.03,54.03
04/09/2009,53.29,53.29,53.29,53.29
04/13/2009,51.31,51.31,51.31,51.31
04/14/2009,47.88,47.88,47.88,47.88
04/15/2009,48.87,48.87,48.87,48.87
04/16/2009,49.39,49.39,49.39,49.39
04/17/2009,49.35,49.35,49.35,49.35
04/20/2009,58.66,58.66,58.66,58.66
04/21/2009,59.13,59.13,59.13,59.13
04/22/2009,61.81,61.81,61.81,61.81
04/23/2009,62.6,62.6,62.6,62.6
04/24/2009,65.77,65.77,65.77,65.77
04/27/2009,67.3,67.3,67.3,67.3
04/28/2009,67.49,67.49,67.49,67.49
04/29/2009,67.41,67.41,67.41,67.41
04/30/2009,66.69,66.69,66.69,66.69
05/01/2009,64.53,64.53,64.53,64.53
05/04/2009,61.16,61.16,61.16,61.16
05/05/2009,56.89,56.89,56.89,56.89
05/06/2009,55.06,55.06,55.06,55.06
05/07/2009,56.59,56.59,56.59,56.59
05/08/2009,58.54,58.54,58.54,58.54
05/11/2009,58.45,58.45,58.45,58.45
05/12/2009,56.83,56.83,56.83,56.83
05/13/2009,59.3,59.3,59.3,59.3
05/14/2009,55.83,55.83,55.83,55.83
