release_date,release_time,release_type,release_name,scheduled,source,source_url,notes
2019-05-10,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2019-06-07,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2019-06-12,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2019-07-05,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2019-07-11,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2019-08-02,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2019-08-13,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2019-09-06,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2019-09-12,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
2019-10-04,08:30:00,employment_situation,Employment Situation,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=50,release date known before RTH; release value/surprise not used by strategy
2019-10-10,08:30:00,cpi,Consumer Price Index,true,alfred_st_louis_fed_bls_release_dates,https://alfred.stlouisfed.org/release/downloaddates?rid=10,release date known before RTH; release value/surprise not used by strategy
