session_date,prior_close,prior_rth_return,prior_realized_variance,prior_bipower_variation,prior_jump_variation,prior_jump_share,prior_positive_jump_variation,prior_negative_jump_variation,prior_signed_jump_share,jump_variation_3d_mean,jump_share_3d_mean,jump_share_5d_mean,jump_variation_change_5d,jump_var_rank_252,jump_share_rank_252,jump_var3_rank_252,jump_share3_rank_252,negative_jump_rank_252,positive_jump_rank_252,signed_jump_rank_252,jump_change_rank_252
2021-03-23,3929.5,0.006531762295082011,2.0754080587772636e-05,2.0703343672272398e-05,5.073691550023772e-08,0.0024446717977056336,7.696385610325404e-06,5.6323881707419565e-06,0.1548527624135402,1.1776879997528358e-06,0.02277160678998645,0.09213754472141535,-8.929619260602367e-07,0.25396825396825395,0.25793650793650796,0.18253968253968253,0.1746031746031746,0.10317460317460317,0.21825396825396826,0.7976190476190477,0.39285714285714285
2021-03-24,3899.0,-0.00605442610413609,4.651717780437473e-05,4.696315450414988e-05,0.0,0.0,9.997778709555704e-06,1.4216313113312277e-05,-0.17421815505682334,1.6912305166745908e-08,0.0008148905992351002,0.06829161237228851,-3.3141202941416513e-06,0.125,0.125,0.01984126984126984,0.01984126984126984,0.40476190476190477,0.30952380952380953,0.30952380952380953,0.2261904761904762
2021-03-25,3879.0,-0.009005556620042099,5.1992556860085075e-05,5.077611224480555e-05,1.2164446152795264e-06,0.023396514592522313,4.200164362396968e-06,1.2574059165072883e-05,-0.4992120671912254,4.223938435932547e-07,0.008613728796742538,0.01834226699249641,-1.9053014656871178e-05,0.38492063492063494,0.36904761904761907,0.03571428571428571,0.06746031746031746,0.3373015873015873,0.06746031746031746,0.015873015873015872,0.051587301587301584
2021-03-26,3900.75,0.009510869565217295,9.81517058865794e-05,8.291537701246674e-05,1.5236328874112663e-05,0.15523244080667553,3.626292287853678e-05,1.6143131836731637e-05,0.3839211165793649,5.484257829797396e-06,0.059542985133065836,0.03621472543938071,1.1754001790354394e-05,0.9325396825396826,0.9285714285714286,0.7579365079365079,0.5793650793650794,0.4801587301587302,0.8134920634920635,0.9484126984126984,0.9325396825396826
2021-03-29,3963.0,0.012648524338827238,4.387965286257733e-05,4.1484860500991335e-05,2.394792361585996e-06,0.054576374363899983,1.5765338964044793e-05,6.998712240494435e-06,0.3851083730562978,6.282521950326062e-06,0.0777351099210325,0.047130000312160705,2.394792361585996e-06,0.5277777777777778,0.5714285714285714,0.8095238095238095,0.746031746031746,0.15079365079365079,0.503968253968254,0.9484126984126984,0.7142857142857143
2021-03-30,3961.75,0.003546323855360578,6.6597672682279e-05,5.771664461002421e-05,8.881028072254799e-06,0.13335342985067936,1.8788815872302515e-05,1.286435277023326e-05,0.1871680895197303,8.837383102651153e-06,0.11438741500708484,0.07331175192275545,8.830291156754561e-06,0.8531746031746031,0.8809523809523809,0.8611111111111112,0.9365079365079365,0.3611111111111111,0.5833333333333334,0.8214285714285714,0.9126984126984127
2021-03-31,3952.0,0.001076562598948838,4.6639327039871745e-05,3.731938181886494e-05,9.319945221006802e-06,0.1998301822202371,1.5658251497977366e-05,1.1175751387919025e-05,0.1670455253775905,6.865255218282532e-06,0.12925332881160537,0.11327778836680287,9.319945221006802e-06,0.8650793650793651,0.9722222222222222,0.8253968253968254,0.9682539682539683,0.30158730158730157,0.5,0.8015873015873016,0.9246031746031746
2021-04-01,3968.75,0.0029694212787465535,1.8800652584203343e-05,1.861220370875907e-05,1.8844887544427314e-07,0.010023528417445008,5.223182351788757e-06,4.085119176624204e-06,0.12226324767098402,6.129807389568625e-06,0.11440238016278703,0.1106031911317874,-1.0279957398352533e-06,0.2619047619047619,0.29365079365079366,0.8055555555555556,0.9325396825396826,0.06349206349206349,0.1111111111111111,0.7380952380952381,0.373015873015873
2021-04-05,4009.5,0.005391173520561621,1.0704333670212447e-05,1.112990493064119e-05,0.0,0.0,1.9034798432822222e-06,1.3750722894024994e-06,0.1611710085717086,3.169464698817025e-06,0.06995123687922726,0.0795567029704523,-1.5236328874112663e-05,0.11904761904761904,0.11904761904761904,0.5079365079365079,0.6865079365079365,0.007936507936507936,0.011904761904761904,0.7896825396825397,0.05555555555555555
2021-04-06,4067.0,0.00711942054107606,1.4378831213050655e-05,1.3406393490596218e-05,9.72437722454437e-07,0.0676298169194603,3.7666931591427836e-06,3.1816501756885977e-06,0.08419891695930184,3.8696219929957004e-07,0.02588444844563499,0.08216739148156436,-1.422354639131559e-06,0.3412698412698413,0.6468253968253969,0.031746031746031744,0.19047619047619047,0.051587301587301584,0.047619047619047616,0.6825396825396826,0.3492063492063492
