run_id,ending_balance,net_pnl,trader_net_pnl,account_ending_balance,final_account_phase,max_drawdown,worst_day,best_day,best_day_concentration,max_consecutive_losses,account_breached,breach_reason,payout_eligible,profit_before_drawdown,drawdown_before_profit,accounts_purchased,accounts_breached,accounts_terminated,challenge_passes,funded_accounts_started,payout_count,gross_payouts,net_payouts,total_challenge_fees
76,52529.5625,2529.5625,2529.5625,52703.125,funded,3445.0,-1230.0,1882.5,0.034997211377579475,6,True,trailing_drawdown,True,True,False,9,8,0,5,5,3,3790.625,3411.5625,882.0
77,55618.375,5618.375,5618.375,,,5882.5,-1230.0,1882.5,0.03514749813293502,6,True,trailing_drawdown,True,True,True,8,8,0,4,4,4,7113.75,6402.375,784.0
78,52339.25,2339.25,2339.25,50700.0,funded,3101.25,-1230.0,1882.5,0.03581280319604299,4,True,trailing_drawdown,True,True,True,6,5,0,4,4,4,3252.5,2927.25,588.0
79,56161.4375,6161.4375,6161.4375,50622.5,challenge,4604.375,-1230.0,1882.5,0.03673170731707317,6,True,trailing_drawdown,True,True,True,6,5,0,3,3,6,7499.375,6749.4375,588.0
80,56976.203125,6976.203125,6976.203125,48885.0,challenge,3470.0,-1230.0,1882.5,0.035584329663059404,3,True,trailing_drawdown,True,True,False,5,4,0,3,3,7,8295.78125,7466.203125,490.0
81,55558.0625,5558.0625,5558.0625,51547.5,challenge,2886.25,-1230.0,1882.5,0.03471005808057528,7,True,trailing_drawdown,True,True,False,9,7,1,4,4,5,7155.625,6440.0625,882.0
82,55313.03125,5313.03125,5313.03125,,,4247.5,-1230.0,1882.5,0.038944918541505044,7,True,trailing_drawdown,True,True,False,5,5,0,2,2,5,6447.8125,5803.03125,490.0
83,53430.5,3430.5,3430.5,50000.0,funded,3831.875,-1230.0,1882.5,0.034854656545084246,5,True,trailing_drawdown,True,True,False,6,5,0,4,4,4,4465.0,4018.5,588.0
84,58557.4765625,8557.4765625,8557.4765625,52021.25,funded,5380.0,-1230.0,1882.5,0.03611857252494244,10,True,trailing_drawdown,True,True,True,6,5,0,3,3,7,10161.640625,9145.4765625,588.0
85,54258.75,4258.75,4258.75,51167.5,funded,3067.5,-1230.0,1863.75,0.03671328671328671,5,True,trailing_drawdown,True,True,False,4,3,0,3,3,3,5167.5,4650.75,392.0
86,57599.8046875,7599.8046875,7599.8046875,50307.5,challenge,3507.96875,-1230.0,1882.5,0.03521653727434291,5,True,trailing_drawdown,True,True,False,5,3,1,2,2,7,8988.671875,8089.8046875,490.0
87,57138.8125,7138.8125,7138.8125,53296.875,funded,4010.0,-1167.5,1882.5,0.03470046082949309,5,True,trailing_drawdown,True,True,True,8,7,0,3,3,5,8803.125,7922.8125,784.0
88,53820.875,3820.875,3820.875,52091.25,funded,3160.0,-1230.0,1882.5,0.035589375177237925,8,True,trailing_drawdown,True,True,False,6,5,0,4,4,5,4898.75,4408.875,588.0
89,57239.625,7239.625,7239.625,49580.0,challenge,2857.5,-1230.0,1882.5,0.035997705325556933,6,True,trailing_drawdown,True,True,True,7,5,1,2,2,6,8806.25,7925.625,686.0
90,57831.125,7831.125,7831.125,49212.5,funded,3230.0,-1230.0,1882.5,0.036558722144001556,8,True,trailing_drawdown,True,True,True,9,7,1,2,2,5,9681.25,8713.125,882.0
91,56335.6875,6335.6875,6335.6875,48400.0,challenge,2687.5,-1230.0,1882.5,0.03579067446171396,6,True,trailing_drawdown,True,True,True,7,5,1,3,3,7,7801.875,7021.6875,686.0
92,58068.3125,8068.3125,8068.3125,49650.0,challenge,3418.75,-1230.0,1882.5,0.03532889180820118,9,True,trailing_drawdown,True,True,False,6,4,1,3,3,7,9618.125,8656.3125,588.0
93,55143.765625,5143.765625,5143.765625,51165.0,challenge,3701.71875,-1230.0,1882.5,0.03705343962208444,7,True,trailing_drawdown,True,True,True,8,7,0,3,3,5,6586.40625,5927.765625,784.0
94,57551.53125,7551.53125,7551.53125,49877.5,challenge,3508.125,-1230.0,1882.5,0.0352627142455746,8,True,trailing_drawdown,True,True,True,7,5,1,3,3,7,9152.8125,8237.53125,686.0
95,56644.5,6644.5,6644.5,49602.5,funded,5707.5,-1230.0,1882.5,0.03644194937811547,6,True,trailing_drawdown,True,True,True,7,6,0,3,3,5,8145.0,7330.5,686.0
96,58041.46875,8041.46875,8041.46875,49743.75,funded,4325.3125,-1230.0,1882.5,0.036331178230242206,4,True,trailing_drawdown,True,True,False,7,5,1,3,3,7,9697.1875,8727.46875,686.0
97,59243.25,9243.25,9243.25,49770.0,challenge,6008.75,-1230.0,1882.5,0.03562136335682861,6,True,trailing_drawdown,True,True,True,7,6,0,3,3,8,11032.5,9929.25,686.0
