session_date,net_pnl,gross_pnl,trades,wins,losses
2015-12-23,-17.5,-12.5,1,0,1
2015-12-29,-30.0,-25.0,1,0,1
2016-01-07,-42.5,-37.5,1,0,1
2016-01-29,-80.0,-75.0,1,0,1
2016-02-01,-30.0,-25.0,1,0,1
2016-02-10,-80.0,-75.0,1,0,1
2016-02-17,-42.5,-37.5,1,0,1
2016-03-03,-55.0,-50.0,1,0,1
2016-03-11,-42.5,-37.5,1,0,1
2016-03-14,120.0,125.0,1,1,0
2016-03-18,-30.0,-25.0,1,0,1
2016-03-24,-30.0,-25.0,1,0,1
2016-03-31,57.5,62.5,1,1,0
2016-04-04,-42.5,-37.5,1,0,1
2016-04-06,-17.5,-12.5,1,0,1
2016-04-11,-67.5,-62.5,1,0,1
2016-04-19,-42.5,-37.5,1,0,1
2016-05-02,-42.5,-37.5,1,0,1
2016-05-09,-105.0,-100.0,1,0,1
2016-05-20,-17.5,-12.5,1,0,1
2016-05-23,-42.5,-37.5,1,0,1
2016-05-27,-30.0,-25.0,1,0,1
2016-05-31,-42.5,-37.5,1,0,1
2016-06-01,57.5,62.5,1,1,0
2016-06-07,-30.0,-25.0,1,0,1
2016-06-13,-42.5,-37.5,1,0,1
2016-06-15,-67.5,-62.5,1,0,1
2016-06-20,32.5,37.5,1,1,0
2016-06-22,-67.5,-62.5,1,0,1
2016-06-30,-42.5,-37.5,1,0,1
2016-07-18,-30.0,-25.0,1,0,1
2016-08-03,-42.5,-37.5,1,0,1
2016-08-11,-42.5,-37.5,1,0,1
2016-08-12,65.0,75.0,2,1,1
2016-08-15,-30.0,-25.0,1,0,1
2016-08-18,-30.0,-25.0,1,0,1
2016-08-25,-17.5,-12.5,1,0,1
2016-08-26,-30.0,-25.0,1,0,1
2016-09-07,-80.0,-75.0,1,0,1
2016-09-15,-67.5,-62.5,1,0,1
2016-09-16,170.0,175.0,1,1,0
2016-09-20,57.5,62.5,1,1,0
2016-09-21,-67.5,-62.5,1,0,1
2016-09-22,45.0,50.0,1,1,0
2016-09-27,-80.0,-75.0,1,0,1
2016-10-03,115.0,125.0,2,1,1
2016-10-05,-42.5,-37.5,1,0,1
2016-10-14,-30.0,-25.0,1,0,1
2016-10-19,-30.0,-25.0,1,0,1
2016-10-21,-55.0,-50.0,1,0,1
2016-10-25,-17.5,-12.5,1,0,1
2016-10-26,-80.0,-75.0,1,0,1
2016-11-02,107.5,112.5,1,1,0
2016-11-04,-30.0,-25.0,1,0,1
2016-11-08,-67.5,-62.5,1,0,1
2016-11-14,257.5,262.5,1,1,0
2016-11-15,-30.0,-25.0,1,0,1
2016-11-16,-30.0,-25.0,1,0,1
2016-11-23,-30.0,-25.0,1,0,1
2016-11-29,-17.5,-12.5,1,0,1
2016-12-02,-30.0,-25.0,1,0,1
2016-12-19,-30.0,-25.0,1,0,1
2017-01-09,-42.5,-37.5,1,0,1
2017-01-18,7.5,12.5,1,1,0
2017-01-24,-42.5,-37.5,1,0,1
2017-01-26,-55.0,-50.0,1,0,1
2017-02-06,-42.5,-37.5,1,0,1
2017-02-08,57.5,62.5,1,1,0
2017-02-10,-42.5,-37.5,1,0,1
2017-02-13,-30.0,-25.0,1,0,1
