variant,window,start_date,end_date,entry_combos,calendar_sessions,lookback_days,min_orderflow_imbalance,signals,signals_per_year,density_pass
late_morning_1130_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.01,1187,85.46259609698403,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.0,116,115.76229508196721,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.005,94,93.80737704918033,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.01,83,82.82991803278689,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.0,114,113.76639344262296,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.005,94,93.80737704918033,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.01,82,81.83196721311475,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.0,93,92.8094262295082,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.005,82,81.83196721311475,True
late_morning_1130_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.01,70,69.85655737704919,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.0,1712,110.92921766897285,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.005,1498,97.06306546035124,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.01,1297,84.03924960085152,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.0,1683,109.05015965939329,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.005,1470,95.2488025545503,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.01,1278,82.80814262905801,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.0,1560,101.0803618946248,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.005,1358,87.99175093134646,True
morning_1000_signed_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.01,1173,76.00465673230441,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.0,168,108.9911190053286,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.005,156,101.20603907637656,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.01,150,97.31349911190053,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.0,158,102.50355239786856,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.005,149,96.66474245115452,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.01,142,92.1234458259325,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.0,157,101.85479573712256,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.005,147,95.36722912966252,True
morning_1000_signed_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.01,139,90.17717584369449,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.0,1534,110.44618568894145,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.005,1338,96.33441750443525,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.01,1160,83.51862803075103,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.0,1528,110.01419278533412,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.005,1336,96.19041986989947,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.01,1163,83.73462448255471,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.0,1415,101.87832643406269,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.005,1237,89.06253696037848,True
morning_1000_signed_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.01,1072,77.18273211117682,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.0,122,121.75,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.005,114,113.76639344262296,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.01,95,94.80532786885246,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.0,100,99.79508196721312,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.005,90,89.81557377049181,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.01,75,74.84631147540983,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.0,98,97.79918032786885,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.005,84,83.82786885245902,True
morning_1000_signed_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.01,69,68.85860655737704,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.0,1777,115.14089941458222,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.01,1629,105.55122405534858,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.02,1485,96.22072911122937,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.0,1651,106.97671633847791,True
