campaign_id,variant_id,window,breakout_buffer_ticks,min_measured_move_ticks,signals,span_years,signals_per_year,density_pass_50_per_year
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,full_available_history,1,32.0,968,15.439358506350294,62.69690541882658,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,limited_core_window,1,32.0,54,1.5420279108677466,35.01882139708648,False
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,latest_252_sessions,1,32.0,80,1.0082610844931172,79.34452814889545,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,full_available_history,1,64.0,742,15.439358506350294,48.058991550381535,False
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,limited_core_window,1,64.0,26,1.5420279108677466,16.8609140060046,False
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,latest_252_sessions,1,64.0,80,1.0082610844931172,79.34452814889545,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,full_available_history,2,16.0,1075,15.439358506350294,69.627245170701,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,limited_core_window,2,16.0,83,1.5420279108677466,53.82522548070699,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,latest_252_sessions,2,16.0,79,1.0082610844931172,78.35272154703426,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,full_available_history,2,32.0,954,15.439358506350294,61.790131993347686,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,limited_core_window,2,32.0,52,1.5420279108677466,33.7218280120092,False
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,latest_252_sessions,2,32.0,79,1.0082610844931172,78.35272154703426,True
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,full_available_history,2,64.0,728,15.439358506350294,47.15221812490264,False
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,limited_core_window,2,64.0,23,1.5420279108677466,14.915423928388684,False
nq_chartfanatics_measured_move_pullback,morning_5_15_long_measured_breakout,latest_252_sessions,2,64.0,79,1.0082610844931172,78.35272154703426,True
