variant,mode,macro,op,threshold,entry_time,signal_bar_time,flow_column,ret_bps,flow_threshold,all_windows_ge_50,min_window_tpy,full_count,full_tpy,limited_10pct_count,limited_10pct_tpy,wfa90_count,wfa90_tpy,latest1y_count,latest1y_tpy
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,0,100,False,8.42,330,21.39,13,8.42,286,20.6,32,32.02
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,1,100,False,8.42,310,20.09,13,8.42,269,19.37,31,31.02
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,2,100,False,8.42,302,19.57,13,8.42,262,18.87,30,30.02
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,0,250,False,8.42,314,20.35,13,8.42,273,19.66,29,29.02
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,1,250,False,8.42,294,19.05,13,8.42,256,18.44,28,28.02
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.65,12:00:00,11:59:00,large10_signed_volume,2,250,False,8.42,286,18.53,13,8.42,249,17.93,27,27.02
core_relief_pullback_signed_long_1030,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.65,10:30:00,10:29:00,signed_volume,0,0,False,6.48,242,15.68,10,6.48,211,15.19,19,19.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,0,0,False,6.48,438,28.39,10,6.48,416,29.96,15,15.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,0,100,False,6.48,435,28.19,10,6.48,413,29.74,15,15.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,1,0,False,6.48,431,27.93,10,6.48,409,29.45,15,15.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,1,100,False,6.48,428,27.74,10,6.48,406,29.24,15,15.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,2,0,False,6.48,424,27.48,10,6.48,402,28.95,15,15.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,2,100,False,6.48,421,27.28,10,6.48,399,28.73,15,15.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,0,250,False,6.48,420,27.22,10,6.48,400,28.81,14,14.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,1,250,False,6.48,414,26.83,10,6.48,394,28.37,14,14.01
broad_import_pressure_large10_short_1200,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.55,12:00:00,11:59:00,large10_signed_volume,2,250,False,6.48,407,26.38,10,6.48,387,27.87,14,14.01
broad_import_pressure_signed_short_1100,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.55,11:00:00,10:59:00,signed_volume,0,0,False,5.83,472,30.59,9,5.83,447,32.19,17,17.01
broad_import_pressure_signed_short_1100,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.55,11:00:00,10:59:00,signed_volume,1,0,False,5.83,460,29.81,9,5.83,435,31.33,17,17.01
broad_import_pressure_signed_short_1100,broad_import_pressure_short,import_all_mom3_rank_120m,>=,0.55,11:00:00,10:59:00,signed_volume,2,0,False,5.83,449,29.1,9,5.83,424,30.53,17,17.01
core_relief_pullback_signed_long_1030,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.65,10:30:00,10:29:00,signed_volume,1,0,False,4.53,214,13.87,7,4.53,186,13.39,19,19.01
core_relief_pullback_signed_long_1030,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.65,10:30:00,10:29:00,signed_volume,2,0,False,4.53,199,12.9,7,4.53,172,12.39,19,19.01
core_relief_pullback_signed_long_1030,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.55,10:30:00,10:29:00,signed_volume,0,0,False,4.53,194,12.57,7,4.53,168,12.1,14,14.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,0,0,False,3.89,250,16.2,6,3.89,217,15.63,21,21.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,1,0,False,3.89,233,15.1,6,3.89,202,14.55,21,21.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,2,0,False,3.89,226,14.65,6,3.89,196,14.11,20,20.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,0,100,False,3.24,241,15.62,5,3.24,210,15.12,19,19.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,1,100,False,3.24,224,14.52,5,3.24,195,14.04,19,19.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,2,100,False,3.24,217,14.06,5,3.24,189,13.61,18,18.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,0,250,False,3.24,231,14.97,5,3.24,203,14.62,16,16.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,1,250,False,3.24,214,13.87,5,3.24,188,13.54,16,16.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.55,12:00:00,11:59:00,large10_signed_volume,2,250,False,3.24,207,13.41,5,3.24,182,13.11,15,15.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,0,0,False,3.24,199,12.9,5,3.24,179,12.89,15,15.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,1,0,False,3.24,185,11.99,5,3.24,166,11.95,15,15.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,2,0,False,3.24,180,11.67,5,3.24,162,11.67,14,14.01
core_relief_pullback_signed_long_1030,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.45,10:30:00,10:29:00,signed_volume,0,0,False,3.24,154,9.98,5,3.24,139,10.01,9,9.01
core_relief_pullback_signed_long_1030,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.55,10:30:00,10:29:00,signed_volume,1,0,False,2.59,172,11.15,4,2.59,149,10.73,14,14.01
core_relief_pullback_signed_long_1030,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.55,10:30:00,10:29:00,signed_volume,2,0,False,2.59,160,10.37,4,2.59,138,9.94,14,14.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,0,100,False,2.59,191,12.38,4,2.59,173,12.46,13,13.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,1,100,False,2.59,177,11.47,4,2.59,160,11.52,13,13.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,2,100,False,2.59,172,11.15,4,2.59,156,11.23,12,12.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,0,250,False,2.59,183,11.86,4,2.59,167,12.03,11,11.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,1,250,False,2.59,169,10.95,4,2.59,154,11.09,11,11.01
core_relief_pullback_large10_long_1200,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.45,12:00:00,11:59:00,large10_signed_volume,2,250,False,2.59,164,10.63,4,2.59,150,10.8,10,10.01
core_relief_pullback_signed_long_1030,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.45,10:30:00,10:29:00,signed_volume,1,0,False,1.3,138,8.94,2,1.3,124,8.93,9,9.01
core_relief_pullback_signed_long_1030,core_import_relief_pullback_long,core_vs_headline_rank_120m,<=,0.45,10:30:00,10:29:00,signed_volume,2,0,False,1.3,128,8.3,2,1.3,114,8.21,9,9.01
