variant_id,gate_col,gate_max,share_rank_min,min_abs_return_ticks,period,signals,signals_per_year
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.55,3,wfa90,353,54.5864733276884
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.55,3,latest1y,68,68.23351648351648
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.55,4,full,388,54.69587032033964
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.55,4,limited_core,51,71.64519230769231
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.55,4,wfa90,338,52.266934801016085
exclude_extreme_absret5_trade_morning_1030,absret5_rank_252,0.95,0.55,4,latest1y,66,66.22664835164835
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.35,2,full,502,70.76630644538788
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.35,2,limited_core,63,88.50288461538462
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.35,2,wfa90,443,68.50370448772227
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.35,2,latest1y,85,85.2918956043956
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.35,3,full,489,68.93371285218062
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.35,3,limited_core,60,84.28846153846155
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.35,3,wfa90,432,66.80270956816257
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.35,3,latest1y,83,83.28502747252747
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.35,4,full,468,65.9733693554612
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.35,4,limited_core,59,82.88365384615385
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.35,4,wfa90,412,63.70999153259949
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.35,4,latest1y,81,81.27815934065934
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.45,2,full,445,62.73108838286375
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.45,2,limited_core,61,85.69326923076923
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.45,2,wfa90,391,60.46263759525826
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.45,2,latest1y,77,77.26442307692308
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.45,3,full,434,61.18043226553454
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.45,3,limited_core,58,81.47884615384616
exclude_extreme_downside20_trade_morning_1030,downside20_rank_252,0.95,0.45,3,wfa90,381,58.91627857747672
