variant,window,start_date,end_date,entry_combos,calendar_sessions,lookback_days,min_orderflow_imbalance,min_mean_return_bps,signals,signals_per_year,density_pass
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,10,0.02,0.75,1428,92.54382540809084,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,10,0.02,0.75,126,81.88879003558718,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,10,0.02,0.75,1265,91.09646096214512,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,10,0.02,0.75,103,103.07054794520548,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.0,0.75,1557,100.90387686302343,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.0,0.75,149,96.83674377224199,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.0,0.75,1389,100.02607452681389,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.0,0.75,102,102.06986301369862,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.01,0.75,1428,92.54382540809084,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.01,0.75,134,87.08807829181494,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.01,0.75,1271,91.5285390378549,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.01,0.75,98,98.06712328767124,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,20,0.02,0.75,1308,84.76703335699078,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,20,0.02,0.75,122,79.28914590747331,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,20,0.02,0.75,1158,83.3910686119874,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,20,0.02,0.75,96,96.06575342465753,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.0,0.75,1416,91.76614620298083,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.0,0.75,138,89.68772241992882,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.0,0.75,1245,89.65620070977918,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.0,0.75,106,106.07260273972602,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.01,0.75,1316,85.28548616039744,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.01,0.75,127,82.53870106761565,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.01,0.75,1156,83.2470425867508,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.01,0.75,103,103.07054794520548,True
morning_1030_large10_confirmed_slot,full,2011-01-03,2026-06-09,9,3817,40,0.02,0.75,1199,77.70311391057487,True
morning_1030_large10_confirmed_slot,limited_core_random_10pct,2011-02-22,2012-09-06,9,374,40,0.02,0.75,119,77.3394128113879,True
morning_1030_large10_confirmed_slot,wfa_first_90pct,2011-01-03,2024-11-22,9,3438,40,0.02,0.75,1048,75.46963722397477,True
morning_1030_large10_confirmed_slot,latest_1y,2025-06-09,2026-06-09,9,249,40,0.02,0.75,99,99.06780821917808,True
