campaign_id,variant_id,window,run_id,start_date,end_date,session_days_with_signal_bar,signal_days,signals,signals_per_year,long_signals,short_signals,entry.params.breakout_buffer_ticks,entry.params.min_orderflow_imbalance,sl.params.stop_pct,tp.params.target_r_multiple
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,38,2011-01-03,2026-06-12,3813,3303,3303,213.90438829787234,1897,1406,2,0.01,0.003,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,38,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.01,0.003,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,39,2011-01-03,2026-06-12,3813,3303,3303,213.90438829787234,1897,1406,2,0.01,0.003,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,39,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.01,0.003,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,40,2011-01-03,2026-06-12,3813,3303,3303,213.90438829787234,1897,1406,2,0.01,0.0045,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,40,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.01,0.0045,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,41,2011-01-03,2026-06-12,3813,3303,3303,213.90438829787234,1897,1406,2,0.01,0.0045,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,41,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.01,0.0045,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,42,2011-01-03,2026-06-12,3813,3303,3303,213.90438829787234,1897,1406,2,0.01,0.0045,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,42,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.01,0.0045,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,43,2011-01-03,2026-06-12,3813,3303,3303,213.90438829787234,1897,1406,2,0.01,0.006,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,43,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.01,0.006,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,44,2011-01-03,2026-06-12,3813,3303,3303,213.90438829787234,1897,1406,2,0.01,0.006,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,44,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.01,0.006,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,45,2011-01-03,2026-06-12,3813,3303,3303,213.90438829787234,1897,1406,2,0.01,0.006,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,45,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.01,0.006,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,46,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1895,1406,2,0.02,0.003,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,46,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.02,0.003,1.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,47,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1895,1406,2,0.02,0.003,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,47,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.02,0.003,1.5
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,48,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1895,1406,2,0.02,0.003,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,limited_core_window,48,2011-02-22,2012-09-07,371,324,324,209.8244680851064,179,145,2,0.02,0.003,2.0
nq_prior_value_area_orderflow_acceptance,afternoon_large20_two_sided_acceptance,full_available_history,49,2011-01-03,2026-06-12,3813,3301,3301,213.7748670212766,1895,1406,2,0.02,0.0045,1.0
