variant_id,period,start_date,end_date,min_trend_move_ticks,min_reclaim_orderflow_imbalance,signals,years,signals_per_year
or30_signed_two_sided_trend_reclaim_1100,limited_core_window,2011-02-22,2012-09-06,2,0.04,19,1.541409993155373,12.326376554174066
or60_signed_two_sided_trend_reclaim_1230,full_history,2011-01-03,2026-06-09,0,0.0,562,15.433264887063656,36.41484832357637
or60_signed_two_sided_trend_reclaim_1230,limited_core_window,2011-02-22,2012-09-06,0,0.0,50,1.541409993155373,32.43783303730017
or60_signed_two_sided_trend_reclaim_1230,full_history,2011-01-03,2026-06-09,0,0.02,554,15.433264887063656,35.89648749334752
or60_signed_two_sided_trend_reclaim_1230,limited_core_window,2011-02-22,2012-09-06,0,0.02,50,1.541409993155373,32.43783303730017
or60_signed_two_sided_trend_reclaim_1230,full_history,2011-01-03,2026-06-09,0,0.04,542,15.433264887063656,35.11894624800426
or60_signed_two_sided_trend_reclaim_1230,limited_core_window,2011-02-22,2012-09-06,0,0.04,50,1.541409993155373,32.43783303730017
or60_signed_two_sided_trend_reclaim_1230,full_history,2011-01-03,2026-06-09,1,0.0,472,15.433264887063656,30.583288983501863
or60_signed_two_sided_trend_reclaim_1230,limited_core_window,2011-02-22,2012-09-06,1,0.0,38,1.541409993155373,24.652753108348133
or60_signed_two_sided_trend_reclaim_1230,full_history,2011-01-03,2026-06-09,1,0.02,465,15.433264887063656,30.129723257051623
or60_signed_two_sided_trend_reclaim_1230,limited_core_window,2011-02-22,2012-09-06,1,0.02,38,1.541409993155373,24.652753108348133
or60_signed_two_sided_trend_reclaim_1230,full_history,2011-01-03,2026-06-09,1,0.04,454,15.433264887063656,29.41697711548696
or60_signed_two_sided_trend_reclaim_1230,limited_core_window,2011-02-22,2012-09-06,1,0.04,38,1.541409993155373,24.652753108348133
or60_signed_two_sided_trend_reclaim_1230,full_history,2011-01-03,2026-06-09,2,0.0,387,15.433264887063656,25.075705162320382
or60_signed_two_sided_trend_reclaim_1230,limited_core_window,2011-02-22,2012-09-06,2,0.0,28,1.541409993155373,18.165186500888097
or60_signed_two_sided_trend_reclaim_1230,full_history,2011-01-03,2026-06-09,2,0.02,380,15.433264887063656,24.622139435870142
or60_signed_two_sided_trend_reclaim_1230,limited_core_window,2011-02-22,2012-09-06,2,0.02,28,1.541409993155373,18.165186500888097
or60_signed_two_sided_trend_reclaim_1230,full_history,2011-01-03,2026-06-09,2,0.04,375,15.433264887063656,24.298163916977114
or60_signed_two_sided_trend_reclaim_1230,limited_core_window,2011-02-22,2012-09-06,2,0.04,28,1.541409993155373,18.165186500888097
