previous_rth_available,overnight_available,events,neutral_side_events,aoi_eligible_events,taps,delta_bubbles,big_trade_bubbles,orders_armed,fill_gate_rejections,target_guard_exits,news_resets,news_flatten_trades,session_date,contract_symbol,source_events,trades,input_was_canonically_sorted,canonical_event_order
True,True,128511,0,15,74,6159,5323,6,1,0,0,0,2026-01-05,ESH6,128511,2,True,utc_timestamp_ns_then_source_ordinal
True,True,110422,0,22,25,8324,13772,4,0,0,0,0,2026-01-06,ESH6,110422,2,True,utc_timestamp_ns_then_source_ordinal
True,True,107189,0,19,66,9193,192,21,4,0,0,0,2026-01-07,ESH6,107189,1,True,utc_timestamp_ns_then_source_ordinal
True,True,140698,0,44,106,9440,6330,8,1,0,0,0,2026-01-08,ESH6,140698,2,True,utc_timestamp_ns_then_source_ordinal
True,True,155824,0,16,68,6466,10600,4,1,0,0,0,2026-01-09,ESH6,155824,2,True,utc_timestamp_ns_then_source_ordinal
True,True,102605,0,40,66,4267,2488,0,0,0,0,0,2026-01-12,ESH6,102605,0,True,utc_timestamp_ns_then_source_ordinal
True,True,134034,0,24,36,5179,6291,3,1,0,0,0,2026-01-13,ESH6,134034,2,True,utc_timestamp_ns_then_source_ordinal
True,True,185447,0,17,55,8510,28144,2,0,0,0,0,2026-01-14,ESH6,185447,1,True,utc_timestamp_ns_then_source_ordinal
True,True,127423,0,15,100,3782,899,20,0,0,0,0,2026-01-15,ESH6,127423,3,True,utc_timestamp_ns_then_source_ordinal
True,True,127269,0,12,56,10754,43486,8,1,0,0,0,2026-01-16,ESH6,127269,1,True,utc_timestamp_ns_then_source_ordinal
True,True,16762,0,11,35,740,43,0,0,0,0,0,2026-01-19,ESH6,16762,0,True,utc_timestamp_ns_then_source_ordinal
True,True,199915,0,36,75,4337,0,1,0,0,0,0,2026-01-20,ESH6,199915,1,True,utc_timestamp_ns_then_source_ordinal
True,True,159284,0,10,69,3249,11194,3,1,0,0,0,2026-01-21,ESH6,159284,0,True,utc_timestamp_ns_then_source_ordinal
True,True,148007,0,44,37,3839,2096,6,0,0,0,0,2026-01-22,ESH6,148007,3,True,utc_timestamp_ns_then_source_ordinal
True,True,102945,0,33,99,4565,6227,0,0,0,0,0,2026-01-23,ESH6,102945,0,True,utc_timestamp_ns_then_source_ordinal
True,True,97032,0,26,84,5088,2611,0,0,0,0,0,2026-01-26,ESH6,97032,0,True,utc_timestamp_ns_then_source_ordinal
True,True,88160,0,7,57,9261,11125,14,1,0,0,0,2026-01-27,ESH6,88160,1,True,utc_timestamp_ns_then_source_ordinal
True,True,99524,0,8,82,4834,8266,4,0,0,0,0,2026-01-28,ESH6,99524,1,True,utc_timestamp_ns_then_source_ordinal
True,True,251084,0,52,83,9187,1177,1,1,0,0,0,2026-01-29,ESH6,251084,0,True,utc_timestamp_ns_then_source_ordinal
True,True,183632,0,35,47,835,19930,4,0,0,0,0,2026-01-30,ESH6,183632,3,True,utc_timestamp_ns_then_source_ordinal
True,True,155358,0,36,76,3846,4203,1,0,0,0,0,2026-02-02,ESH6,155358,1,True,utc_timestamp_ns_then_source_ordinal
True,True,205167,0,21,68,9111,30135,1,0,0,0,0,2026-02-03,ESH6,205167,1,True,utc_timestamp_ns_then_source_ordinal
True,True,247804,0,11,142,1379,4851,13,0,0,0,0,2026-02-04,ESH6,247804,1,True,utc_timestamp_ns_then_source_ordinal
True,True,296003,0,24,145,3829,21093,1,0,0,0,0,2026-02-05,ESH6,296003,1,True,utc_timestamp_ns_then_source_ordinal
True,True,228457,0,22,196,6405,40,2,0,0,0,0,2026-02-06,ESH6,228457,1,True,utc_timestamp_ns_then_source_ordinal
True,True,142611,0,29,46,6192,23192,0,0,0,0,0,2026-02-09,ESH6,142611,0,True,utc_timestamp_ns_then_source_ordinal
True,True,127464,0,13,76,6299,7849,4,0,0,0,0,2026-02-10,ESH6,127464,2,True,utc_timestamp_ns_then_source_ordinal
True,True,201736,0,31,114,10606,12866,5,0,0,0,0,2026-02-11,ESH6,201736,0,True,utc_timestamp_ns_then_source_ordinal
True,True,159819,0,44,60,4248,30679,24,0,0,0,0,2026-02-12,ESH6,159819,2,True,utc_timestamp_ns_then_source_ordinal
True,True,254777,0,57,166,7041,27534,3,0,0,0,0,2026-02-13,ESH6,254777,1,True,utc_timestamp_ns_then_source_ordinal
True,True,19954,0,7,49,0,0,0,0,0,0,0,2026-02-16,ESH6,19954,0,True,utc_timestamp_ns_then_source_ordinal
True,True,209146,0,62,116,3257,4077,4,0,0,0,0,2026-02-17,ESH6,209146,1,True,utc_timestamp_ns_then_source_ordinal
