variant_id,min_sector_count,min_orderflow_imbalance,window,start_date,end_date,signals,signals_per_year
riskoff_cycdown_vwap_accept_short_1230,4,0.04,latest1y,2025-06-10,2026-06-09,0,0.0
broad_two_sided_large10_vwap_accept_1130,4,0.0,full,2011-01-03,2026-06-09,1714,111.07851312987935
broad_two_sided_large10_vwap_accept_1130,4,0.0,limited_core,2011-02-22,2012-09-06,192,124.78291814946618
broad_two_sided_large10_vwap_accept_1130,4,0.0,wfa90,2011-01-03,2024-12-22,1553,111.17860642885144
broad_two_sided_large10_vwap_accept_1130,4,0.0,latest1y,2025-06-10,2026-06-09,110,110.37774725274724
broad_two_sided_large10_vwap_accept_1130,4,0.02,full,2011-01-03,2026-06-09,1431,92.73824520936834
broad_two_sided_large10_vwap_accept_1130,4,0.02,limited_core,2011-02-22,2012-09-06,163,105.93549822064057
broad_two_sided_large10_vwap_accept_1130,4,0.02,wfa90,2011-01-03,2024-12-22,1285,91.99260094080752
broad_two_sided_large10_vwap_accept_1130,4,0.02,latest1y,2025-06-10,2026-06-09,99,99.33997252747253
broad_two_sided_large10_vwap_accept_1130,4,0.04,full,2011-01-03,2026-06-09,1157,74.98123669268985
broad_two_sided_large10_vwap_accept_1130,4,0.04,limited_core,2011-02-22,2012-09-06,131,85.13834519572953
broad_two_sided_large10_vwap_accept_1130,4,0.04,wfa90,2011-01-03,2024-12-22,1021,73.09295374362995
broad_two_sided_large10_vwap_accept_1130,4,0.04,latest1y,2025-06-10,2026-06-09,94,94.32280219780219
broad_two_sided_large10_vwap_accept_1130,5,0.0,full,2011-01-03,2026-06-09,1515,98.18199964513839
broad_two_sided_large10_vwap_accept_1130,5,0.0,limited_core,2011-02-22,2012-09-06,181,117.63389679715301
broad_two_sided_large10_vwap_accept_1130,5,0.0,wfa90,2011-01-03,2024-12-22,1381,98.86519992159937
broad_two_sided_large10_vwap_accept_1130,5,0.0,latest1y,2025-06-10,2026-06-09,93,93.31936813186813
broad_two_sided_large10_vwap_accept_1130,5,0.02,full,2011-01-03,2026-06-09,1259,81.59150993612491
broad_two_sided_large10_vwap_accept_1130,5,0.02,limited_core,2011-02-22,2012-09-06,155,100.73620996441281
broad_two_sided_large10_vwap_accept_1130,5,0.02,wfa90,2011-01-03,2024-12-22,1135,81.25416503332026
broad_two_sided_large10_vwap_accept_1130,5,0.02,latest1y,2025-06-10,2026-06-09,85,85.2918956043956
broad_two_sided_large10_vwap_accept_1130,5,0.04,full,2011-01-03,2026-06-09,1019,66.03792583392477
broad_two_sided_large10_vwap_accept_1130,5,0.04,limited_core,2011-02-22,2012-09-06,124,80.58896797153024
broad_two_sided_large10_vwap_accept_1130,5,0.04,wfa90,2011-01-03,2024-12-22,904,64.71697373578989
broad_two_sided_large10_vwap_accept_1130,5,0.04,latest1y,2025-06-10,2026-06-09,80,80.27472527472527
broad_two_sided_large10_vwap_accept_1130,6,0.0,full,2011-01-03,2026-06-09,1170,75.82372249822569
broad_two_sided_large10_vwap_accept_1130,6,0.0,limited_core,2011-02-22,2012-09-06,161,104.63567615658363
broad_two_sided_large10_vwap_accept_1130,6,0.0,wfa90,2011-01-03,2024-12-22,1088,77.88945511564093
broad_two_sided_large10_vwap_accept_1130,6,0.0,latest1y,2025-06-10,2026-06-09,55,55.18887362637362
broad_two_sided_large10_vwap_accept_1130,6,0.02,full,2011-01-03,2026-06-09,961,62.2791430092264
broad_two_sided_large10_vwap_accept_1130,6,0.02,limited_core,2011-02-22,2012-09-06,137,89.03781138790035
broad_two_sided_large10_vwap_accept_1130,6,0.02,wfa90,2011-01-03,2024-12-22,886,63.42836142689141
broad_two_sided_large10_vwap_accept_1130,6,0.02,latest1y,2025-06-10,2026-06-09,49,49.168269230769226
broad_two_sided_large10_vwap_accept_1130,6,0.04,full,2011-01-03,2026-06-09,783,50.743568133427964
broad_two_sided_large10_vwap_accept_1130,6,0.04,limited_core,2011-02-22,2012-09-06,112,72.79003558718861
broad_two_sided_large10_vwap_accept_1130,6,0.04,wfa90,2011-01-03,2024-12-22,713,51.043365346922776
broad_two_sided_large10_vwap_accept_1130,6,0.04,latest1y,2025-06-10,2026-06-09,47,47.161401098901095
