variant,time_set,thr,imb,signals,full_per_year,limited_per_year,long,short
twoy_1d_large10,full,0.55,0.01,1696,109.91199432221434,92.2873665480427,3072,2459
teny_1d_two_sided,full,0.55,0.02,1255,81.33228353442158,107.88523131672598,1541,1519
twoy_1d_two_sided,full,0.55,0.02,1119,72.51858587650817,77.98932384341637,1332,1348
curve_1d_two_sided,full,0.55,0.02,1202,77.89753371185238,102.68594306049822,1535,1400
teny_5d_two_sided,full,0.55,0.02,1265,81.98034953867992,105.93549822064057,1540,1541
curve_5d_two_sided,full,0.55,0.02,1232,79.8417317246274,109.18505338078292,1525,1483
teny_1d_large10,full,0.55,0.02,1706,110.56006032647268,109.18505338078292,2885,2285
twoy_1d_large10,full,0.55,0.02,1562,101.2279098651526,81.23887900355871,2678,2099
teny_1d_two_sided,full,0.55,0.04,528,34.217885024840314,70.8403024911032,492,462
twoy_1d_two_sided,full,0.55,0.04,452,29.292583392476935,48.74332740213523,396,380
curve_1d_two_sided,full,0.55,0.04,507,32.8569464158978,65.64101423487544,489,438
teny_5d_two_sided,full,0.55,0.04,513,33.245786018452804,68.24065836298932,503,457
curve_5d_two_sided,full,0.55,0.04,512,33.18097941802697,68.89056939501779,490,454
teny_1d_large10,full,0.55,0.04,1334,86.45200496806245,83.83852313167259,2065,1555
twoy_1d_large10,full,0.55,0.04,1220,79.06405251951739,57.8420818505338,1952,1395
teny_1d_two_sided,full,0.6,0.0,1923,124.62309261887864,113.7344306049822,3357,3251
twoy_1d_two_sided,full,0.6,0.0,1828,118.46646557842442,96.83674377224199,3145,3115
curve_1d_two_sided,full,0.6,0.0,1886,122.22524840312278,118.28380782918148,3345,3074
teny_5d_two_sided,full,0.6,0.0,1942,125.85441802696948,124.78291814946618,3363,3246
curve_5d_two_sided,full,0.6,0.0,1908,123.65099361249113,133.88167259786476,3338,3118
teny_1d_large10,full,0.6,0.0,1826,118.33685237757275,111.7846975088968,3350,2801
twoy_1d_large10,full,0.6,0.0,1718,111.33773953158268,95.53692170818505,3142,2707
teny_1d_two_sided,full,0.6,0.01,1547,100.25581085876509,103.33585409252669,2270,2268
twoy_1d_two_sided,full,0.6,0.01,1445,93.64553761533003,87.08807829181494,2080,2178
curve_1d_two_sided,full,0.6,0.01,1526,98.89487224982257,106.58540925266904,2238,2170
teny_5d_two_sided,full,0.6,0.01,1552,100.57984386089426,109.83496441281139,2242,2272
curve_5d_two_sided,full,0.6,0.01,1524,98.7652590489709,119.58362989323842,2271,2182
teny_1d_large10,full,0.6,0.01,1672,108.35663591199432,102.68594306049822,2959,2416
twoy_1d_large10,full,0.6,0.01,1580,102.3944286728176,89.68772241992882,2794,2362
teny_1d_two_sided,full,0.6,0.02,1121,72.64819907735983,91.63745551601423,1357,1360
twoy_1d_two_sided,full,0.6,0.02,1049,67.98212384669979,75.38967971530249,1201,1302
curve_1d_two_sided,full,0.6,0.02,1087,70.44477466288147,95.53692170818505,1374,1279
teny_5d_two_sided,full,0.6,0.02,1122,72.71300567778566,94.23709964412811,1346,1375
curve_5d_two_sided,full,0.6,0.02,1099,71.22245386799149,100.73620996441281,1345,1318
teny_1d_large10,full,0.6,0.02,1531,99.21890525195174,92.2873665480427,2570,2063
twoy_1d_large10,full,0.6,0.02,1452,94.09918381831086,78.63923487544484,2421,2015
teny_1d_two_sided,full,0.6,0.04,473,30.653522001419446,58.49199288256227,417,412
twoy_1d_two_sided,full,0.6,0.04,427,27.672418381831086,46.14368327402135,361,370
curve_1d_two_sided,full,0.6,0.04,452,29.292583392476935,61.09163701067615,431,401
teny_5d_two_sided,full,0.6,0.04,455,29.487003193754436,61.09163701067615,430,411
curve_5d_two_sided,full,0.6,0.04,453,29.357389992902768,65.64101423487544,425,417
teny_1d_large10,full,0.6,0.04,1201,77.83272711142655,69.54048042704626,1854,1404
twoy_1d_large10,full,0.6,0.04,1130,73.23145848119233,55.8923487544484,1750,1337
teny_1d_two_sided,full,0.65,0.0,1684,109.13431511710434,102.68594306049822,2974,2827
twoy_1d_two_sided,full,0.65,0.0,1643,106.47724449964514,88.38790035587188,2796,2837
curve_1d_two_sided,full,0.65,0.0,1654,107.19011710432932,100.08629893238434,2908,2713
teny_5d_two_sided,full,0.65,0.0,1700,110.17122072391767,110.48487544483986,2939,2832
curve_5d_two_sided,full,0.65,0.0,1683,109.0695085166785,118.93371886120995,2973,2721
teny_1d_large10,full,0.65,0.0,1617,104.79227288857346,101.38612099644128,2950,2492
twoy_1d_large10,full,0.65,0.0,1546,100.19100425833925,87.08807829181494,2797,2456
teny_1d_two_sided,full,0.65,0.01,1360,88.13697657913414,92.2873665480427,2019,1989
twoy_1d_two_sided,full,0.65,0.01,1299,84.18377395315827,79.28914590747331,1842,1977
curve_1d_two_sided,full,0.65,0.01,1340,86.84084457061746,89.68772241992882,1953,1913
teny_5d_two_sided,full,0.65,0.01,1361,88.20178317955997,96.83674377224199,1965,1988
