campaign_id,variant_id,scope,timeframe,period_start,period_end,rows,years,signals,signals_per_year,passed_density,entry.params.band_z,entry.params.min_orderflow_imbalance,lookback_bars,min_bar_range_ticks,orderflow_mode
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,288,186.841918,True,2.25,0.2,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,258,167.379218,True,2.75,0.1,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,239,155.052842,True,2.75,0.15,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,215,139.482682,True,2.75,0.2,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,3323,215.31413,True,1.75,0.1,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,2537,164.385178,True,1.75,0.15,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,1821,117.991884,True,1.75,0.2,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,2882,186.739489,True,2.25,0.1,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,2147,139.115088,True,2.25,0.15,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,1511,97.905402,True,2.25,0.2,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,2089,135.356972,True,2.75,0.1,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,1541,99.849255,True,2.75,0.15,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,midday_5m_signed_18bar_reversion_1400,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,1089,70.561868,True,2.75,0.2,18,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,365,236.796181,True,1.75,0.1,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,350,227.064831,True,1.75,0.15,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,288,186.841918,True,1.75,0.2,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,349,226.416075,True,2.25,0.1,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,318,206.304618,True,2.25,0.15,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,258,167.379218,True,2.25,0.2,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,306,198.519538,True,2.75,0.1,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,263,170.623002,True,2.75,0.15,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,limited_core_grid_test,5m,2011-02-22,2012-09-06,29172,1.54141,195,126.507549,True,2.75,0.2,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,3121,202.225519,True,1.75,0.1,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,2117,137.171235,True,1.75,0.15,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,1281,83.002528,True,1.75,0.2,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,2907,188.359367,True,2.25,0.1,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,1921,124.471394,True,2.25,0.15,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,1140,73.866418,True,2.25,0.2,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,2506,162.37653,True,2.75,0.1,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,1603,103.866551,True,2.75,0.15,6,6.0,signed
es_rolling_stat_envelope_orderflow_reversion,morning_5m_signed_6bar_reversion_1130,full_configured_data,5m,2011-01-03,2026-06-09,297726,15.433265,922,59.741086,True,2.75,0.2,6,6.0,signed
