run_id,ending_balance,net_pnl,trader_net_pnl,account_ending_balance,final_account_phase,max_drawdown,worst_day,best_day,best_day_concentration,max_consecutive_losses,account_breached,breach_reason,payout_eligible,profit_before_drawdown,drawdown_before_profit,accounts_purchased,accounts_breached,accounts_terminated,challenge_passes,funded_accounts_started,payout_count,gross_payouts,net_payouts,total_challenge_fees
75,57076.1875,7076.1875,7076.1875,50770.0,challenge,3828.125,-842.5,770.0,0.017422785382961874,6,True,trailing_drawdown,True,True,False,5,3,1,2,2,8,8406.875,7566.1875,490.0
76,54637.203125,4637.203125,4637.203125,51387.5,funded,2721.5625,-842.5,770.0,0.017509948834565095,5,True,trailing_drawdown,True,True,True,6,4,1,2,2,5,5805.78125,5225.203125,588.0
77,55044.890625,5044.890625,5044.890625,51292.5,challenge,3211.875,-842.5,770.0,0.017331607675426255,3,True,trailing_drawdown,True,True,False,7,5,1,3,3,6,6367.65625,5730.890625,686.0
78,53919.0,3919.0,3919.0,,,3543.75,-842.5,770.0,0.01725876947215062,4,True,trailing_drawdown,True,True,False,4,4,0,4,4,7,4790.0,4311.0,392.0
79,56120.390625,6120.390625,6120.390625,49325.0,challenge,3473.4375,-842.5,770.0,0.017336485421591805,5,True,trailing_drawdown,True,True,True,7,5,1,3,3,8,7562.65625,6806.390625,686.0
80,54122.8125,4122.8125,4122.8125,52400.0,challenge,4649.375,-842.5,770.0,0.016792061934358303,4,True,trailing_drawdown,True,True,True,7,6,0,3,3,4,5343.125,4808.8125,686.0
81,54398.296875,4398.296875,4398.296875,51010.0,challenge,4261.09375,-842.5,770.0,0.018318068276436304,7,True,trailing_drawdown,True,True,True,7,6,0,2,2,5,5649.21875,5084.296875,686.0
82,54445.484375,4445.484375,4445.484375,51478.75,funded,3502.65625,-842.5,770.0,0.017630223239839725,4,True,trailing_drawdown,True,True,False,3,2,0,3,3,6,5266.09375,4739.484375,294.0
83,54323.875,4323.875,4323.875,51682.5,funded,2862.5,-842.5,770.0,0.017157818505932818,8,True,trailing_drawdown,True,True,False,5,4,0,3,3,5,5348.75,4813.875,490.0
84,51524.34375,1524.34375,1524.34375,52200.0,challenge,2539.0625,-842.5,770.0,0.01859229747675963,6,True,trailing_drawdown,True,True,False,7,6,0,3,3,3,2455.9375,2210.34375,686.0
85,54169.625,4169.625,4169.625,51110.0,funded,4697.5,-842.5,770.0,0.017803468208092487,5,True,trailing_drawdown,True,True,False,6,5,0,3,3,5,5286.25,4757.625,588.0
86,51272.75,1272.75,1272.75,50841.25,funded,2980.0,-842.5,770.0,0.016840723932418394,5,True,trailing_drawdown,True,True,False,6,5,0,5,5,3,2067.5,1860.75,588.0
